time;stockInWarehouse;stockInFinalDest;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge;totalNumberOfBatch;stockOnRoadsProviderToLarge;stockOnRoadsLargeToAverage;stockOnRoadsAverageToSmall;stockOnRoadsSmallToFinal;stockOnRoads
86,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
87,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
88,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
89,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
90,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
91,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
92,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
93,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
94,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
95,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
96,0; 2848063,1865591025;541499,4071399996;132;286;1255;82;1755; 7995,734559000001; 10092,540752499997; 13241,387700000001; 34008,318468000005;65337,981479500006
97,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
98,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
99,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
100,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
101,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
102,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
103,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
104,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
105,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
106,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
107,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
108,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
109,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
110,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
111,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
112,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
113,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
114,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
115,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
116,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
117,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
118,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
119,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
120,0; 2747447,578780998;559825,70662;169;325;1224;100;1818; 6155,680760000003; 13573,577599999999; 19951,2729095; 32683,516468550006;72364,04773805001
121,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
122,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
123,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
124,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
125,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
126,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
127,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
128,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
129,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
130,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
131,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
132,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
133,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
134,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
135,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
136,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
137,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
138,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
139,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
