time;stockInWarehouse;stockInFinalDest;stockOnRoads;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge
1108800,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1112400,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1116000,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1119600,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1123200,0; 2537984,9022860015;627516,4768909991;73929,94261999999;173;208;586;68
1126800,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1130400,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1134000,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1137600,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1141200,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1144800,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1148400,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1152000,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1155600,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1159200,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1162800,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1166400,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1170000,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1173600,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1177200,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1180800,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1184400,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1188000,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1191600,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1195200,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1198800,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1202400,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1206000,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1209600,0; 2531416,4815359986;623256,1842909987;67680,71674;142;202;482;83
1213200,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1216800,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1220400,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1224000,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1227600,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1231200,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1234800,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1238400,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1242000,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1245600,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1249200,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1252800,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1256400,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1260000,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1263600,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1267200,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1270800,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1274400,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1278000,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1281600,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1285200,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
1288800,0; 2528988,433012698;623948,8590889985;69442,8620033;178;214;450;69
